,,,,,
"All columns name starting with ""fr_"" refer to the Government frameworks pillar",,,,,
"All columns name starting with ""ga_"" refer to the Government actions pillar",,,,,
"All columns name starting with ""nsa_"" refer to the Non-state actors pillar",,,,,
"All columns name starting with ""nsa_au"" refer to the Non-state actors from Academia",,,,,
"All columns name starting with ""nsa_cs"" refer to the Non-state actors from Civil Society",,,,,
"All columns name starting with ""nsa_ps"" refer to the Non-state actors from the Private Sector",,,,,
,,,,,
DATA TAB,,,,RANKINGS AND SCORES TAB,
Column,Definition,Values,,Column,Definition
country,name of the country or territory. (*),,,Ranking,position of a country in the overall ranking based on the Global Index score
ISO3,"three-letter code representing a country, dependent territory, or special area of geographical interest according to ISO 3166-1 alpha-3 standard",,,ISO3,three-letter country code according to the ISO 3166-1 alpha-3 standard
GIRAI_region,region to which the country belongs according to the GIRAI classification,"Africa, Asia and Oceania, Caribbean, Europe, South and Central America, Middle East, North America",,Country,name of the country or territory. (*)
GIRAI_subregion,subregion to which the country belongs according to the GIRAI classification.,"Africa: Central Africa, East Africa, North Africa, South Africa, West Africa
Asia and Oceania: East Asia, North West Asia, Oceania (Pacific), South East Asia, South West Asia
Caribbean: no subregions
Europe: Balkans (South East Europe), Central Europe, Eastern Europe, North Europe, Western Europe
South and Central America: Central America, South America
Middle East: no subregions
North America: no subregions",,GIRAI_region,region to which the country belongs according to the GIRAI  classification.
UN_region,continental regions according to the UN M49 standard,"Africa, Americas, Asia, Europe, Oceania",,UN_region,continental regions according to the UN M49 standard
UN_sub_region,geographical subregions according to the UN M49 standard,"Australia and New Zealand, Central Asia, Eastern Asia, Eastern Europe, Latin America and the Caribbean, Melanesia, Micronesia, Northern Africa, Northern America, Northern Europe, Polynesia, South-eastern Asia, Southern Asia, Southern Europe, Sub-Saharan Africa, Western Asia, Western Europe",,UN_sub_region,geographical subregions according to the the UN M49 standard
dimension,name of the dimension,"Responsible AI Governance,
Human Rights and AI,
Responsible AI Capacities",,Index score,total index score of the country
thematic_area,name of the thematic area measured,"Access to Remedy and Redress,
Bias and Unfair Discrimination,
Children's Rights,
Competitions Authorities,
Cultural and Linguistic Diversity,
Data Protection and Privacy,
Gender Equality,
Human Oversight and Determination,
Impact Assessments,
International Cooperation,
Labour Protection and Right to Work,
National AI Policy,
Proportionality and Do No Harm,
Public Participation and Awareness,
Public Procurement,
Public Sector Skills Development,
Responsibility and Accountability,
Safety, Accuracy and Reliability,
Transparency and Explainability.",,Pillar scores,"overall score of Government frameworks, Government actions and Non-state actors pillars for a country"
enforceability_benchmark,standard used to assess the strength of Government frameworks accross the different Thematic Areas,"legally-enforceable
binding",,Dimension scores,"overall score of Human Rights and AI, Responsible AI Governanca and Responsible AI Capacities dimensions for a country"
fr_coefficient,country-specific secondary data coefficient for Government frameworks,ranges from 0 to 1,,Coefficients,"country-specific secondary data coefficients accounting for the effectiveness of Government frameworks, Government actions and the enabling environment for Non-state actors in each country"
ga_coefficient,country-specific secondary data coefficient for Government actions,ranges from 0 to 1,,,
nsa_coefficient,country-specific secondary data coefficient for Non-state actors,ranges from 0 to 1,,,
ta_score,fr_weighted_score + ga_weighted_score + nsa_weighted_score,ranges from 0 to 100,,,
fr_weighted_score,fr_adjust_score * 40%,ranges from 0 to 40,,,
ga_weighted_score,ga_adjust_score * 40%,ranges from 0 to 40,,,
nsa_weighted_score,nsa_adjust_score * 20%,ranges from 0 to 20,,,
fr_adjust_score,fr_norm_score * country specific coefficient for Government frameworks pillar,ranges from 0 to 100,,,
ga_adjust_score,ga_norm_score * country specific coefficient for Government actions pillar,ranges from 0 to 100,,,
nsa_adjust_score,nsa_norm_score * country specific coefficient for Non-state actors pillar,ranges from 0 to 100,,,
fr_norm_score,"points assigned to Government frameworks indicator according to GIRAI scoring rules, normalised into a 0-100 range",ranges from 0 to 100,,,
ga_norm_score,"points assigned to Government actions indicator according to GIRAI scoring rules, normalised into a 0-100 range",ranges from 0 to 100,,,
nsa_norm_score,"points assigned to Non-state actors indicator according to GIRAI scoring rules, normalised into a 0-100 range",ranges from 0 to 100,,,
